节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.32.12,cce-bcc-halo-data-cleaning-prod-cpu-sctuqq1r-nm2omg3x / i-jjC5Uktb,可用,后付费,可用区C,10.90.32.12,8核/32GB/500GB/g4,,"""0/0""",0,"CPU: 16.25% | 162.50% 
内存: 7.78% | 66.77%","""7/128""",nodepool-清洗服务-cpu-8C32G（cce-ig-n49ff2bg）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-12-16 14:20:41
10.90.32.11,cce-bcc-biaozhu-prod-cpu-73h63xi2-q4pnefhy / i-bjLweLaf,可用,预付费,可用区C,10.90.32.11,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 60.00% | 215.62% 
内存: 58.93% | 172.32%","""14/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-10-21 13:31:40
10.90.32.4,cce-bcc-biaozhu-prod-cpu-75ys156u-q4pnefhy / i-BE8jZPIp,可用,预付费,可用区C,10.90.32.4,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 44.38% | 134.38% 
内存: 41.45% | 86.55%","""13/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-10-20 10:52:13
10.90.32.10,cce-bcc-biaozhu-cpu-static-820fqz9b-2rbr5ei7 / i-cozydCBc,可用,预付费,可用区C,10.90.32.10,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 58.44% | 212.50% 
内存: 47.01% | 127.85%","""17/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-06-25 14:11:19
10.90.32.7,cce-bcc-biaozhu-cpu-static / i-uWy2DWwE,可用,预付费,可用区C,10.90.32.7,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 59.38% | 240.62% 
内存: 56.85% | 170.70%","""15/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-03-20 09:33:20
10.90.32.5,cce-4nmy1x1s-e0y3z774 / i-6pRM0eSz,可用,预付费,可用区C,10.90.32.5,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 9.38% | 250.00% 
内存: 2.35% | 139.77%","""9/128""",ingress-nginx（cce-ig-i5ns90cv）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-03-18 17:08:46
10.90.32.6,cce-4nmy1x1s-l4upmjaz / i-YjbgHc0u,可用,预付费,可用区C,10.90.32.6,8核/32GB/200GB/g4,,"""0/0""",0,"CPU: 11.25% | 362.50% 
内存: 2.54% | 166.79%","""11/128""",ingress-nginx（cce-ig-i5ns90cv）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-03-18 17:08:46
10.90.32.14,cce-4nmy1x1s-2k21lxio / i-wHGNA2h7,可用,预付费,可用区C,10.90.32.14,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 59.69% | 175.00% 
内存: 50.58% | 111.93%","""20/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-03-04 18:15:20
10.90.32.13,cce-4nmy1x1s-hmllls2v / i-BOoIDuuF,可用,预付费,可用区C,10.90.32.13,32核/128GB/500GB/g4,,"""0/0""",0,"CPU: 60.47% | 173.12% 
内存: 55.67% | 118.74%","""19/128""",nodepool-标注-cpu-32C128G（cce-ig-b15l0akc）,,"v1.30.1
containerd://1.6.36
CentOS Linux 7 (Core)",2025-03-04 18:09:53
