节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
10.90.0.33,底座测试机 / i-FoXtBwXS,可用,预付费,可用区C,10.90.0.33,16核/64GB/250GB/g4,,"""0/0""",0,"CPU: 4.75% | 58.44% 
内存: 2.54% | 15.29%","""13/128""",,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-09-16 16:26:43
10.90.0.103,cce-hcbs74xg-tj4nsh8d / i-15b4jqRS,可用,后付费,可用区C,10.90.0.103,64核/256GB/100GB/g4,,"""0/0""",0,"CPU: 6.56% | 96.88% 
内存: 1.90% | 30.04%","""12/128""",train-data-label-prod-pool（cce-ig-kzz3vku4）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-05-19 17:39:37
10.90.0.84,cce-hcbs74xg-wow6mxt2 / i-JXfOfuxa,可用,后付费,可用区C,10.90.0.84,64核/256GB/100GB/g4,,"""0/0""",0,"CPU: 7.19% | 175.00% 
内存: 1.96% | 48.34%","""13/128""",train-data-label-prod-pool（cce-ig-kzz3vku4）,,"v1.30.1
containerd://1.6.36
Ubuntu 22.04.1 LTS",2025-05-13 09:19:49
